SET t /0*17/;
SET m /1*3/;
PARAMETER m_cores(m)
	/	1	4
		2	6
		3	4 /;
PARAMETER t_arrival(t)
	/	1	22.0
		2	30.0
		3	34.0
		4	83.0
		5	153.0
		6	176.0
		7	186.0
		8	193.0
		9	213.0
		10	239.0
		11	247.0
		12	255.0
		13	287.0
		14	295.0
		15	331.0
		16	355.0 /;
PARAMETER t_cores(t)
	/	1	1
		2	1
		3	1
		4	1
		5	1
		6	1
		7	1
		8	1
		9	2
		10	1
		11	1
		12	2
		13	1
		14	1
		15	1
		16	4 /;
PARAMETER t_priorities(t)
	/	1	2
		2	3
		3	3
		4	3
		5	1
		6	3
		7	4
		8	4
		9	4
		10	3
		11	3
		12	3
		13	3
		14	3
		15	3
		16	3 /;
PARAMETER etc(t,m)
	/	1	.1	2261.1399
		1	.2	1608.0748
		1	.3	2261.1399
		2	.1	4925.3004
		2	.2	3502.7694
		2	.3	4925.3004
		3	.1	4513.6677
		3	.2	3210.0249
		3	.3	4513.6677
		4	.1	5576.0642
		4	.2	3965.5789
		4	.3	5576.0642
		5	.1	29131.0700
		5	.2	20717.4005
		5	.3	29131.0700
		6	.1	4138.2709
		6	.2	2943.0507
		6	.3	4138.2709
		7	.1	7764.2076
		7	.2	5521.7402
		7	.3	7764.2076
		8	.1	9207.7688
		8	.2	6548.3703
		8	.3	9207.7688
		9	.1	16519.5058
		9	.2	11748.3229
		9	.3	16519.5058
		10	.1	38954.2254
		10	.2	27703.4207
		10	.3	38954.2254
		11	.1	14606.3640
		11	.2	10387.7369
		11	.3	14606.3640
		12	.1	8568.3369
		12	.2	6093.6199
		12	.3	8568.3369
		13	.1	4606.0388
		13	.2	3275.7173
		13	.3	4606.0388
		14	.1	7566.2044
		14	.2	5380.9244
		14	.3	7566.2044
		15	.1	3549.9369
		15	.2	2524.6400
		15	.3	3549.9369
		16	.1	34380.5416
		16	.2	24450.7136
		16	.3	34380.5416 /;
PARAMETER m_eidle(m)
	/	1	76.9
		2	35.7
		3	76.9 /;
PARAMETER eec(t,m)
	/	1	.1	31034.1450
		1	.2	16187.9534
		1	.3	31034.1450
		2	.1	67599.7479
		2	.2	35261.2120
		2	.3	67599.7479
		3	.1	61950.0888
		3	.2	32314.2509
		3	.3	61950.0888
		4	.1	76531.4818
		4	.2	39920.1608
		4	.3	76531.4818
		5	.1	399823.9356
		5	.2	208555.1648
		5	.3	399823.9356
		6	.1	56797.7675
		6	.2	29626.7099
		6	.3	56797.7675
		7	.1	106563.7497
		7	.2	55585.5175
		7	.3	106563.7497
		8	.1	126376.6266
		8	.2	65920.2610
		8	.3	126376.6266
		9	.1	453460.4345
		9	.2	236532.9016
		9	.3	453460.4345
		10	.1	534646.7436
		10	.2	278881.1018
		10	.3	534646.7436
		11	.1	200472.3453
		11	.2	104569.8851
		11	.3	200472.3453
		12	.1	235200.8478
		12	.2	122684.8800
		12	.3	235200.8478
		13	.1	63217.8829
		13	.2	32975.5545
		13	.3	63217.8829
		14	.1	103846.1552
		14	.2	54167.9726
		14	.3	103846.1552
		15	.1	48722.8833
		15	.2	25414.7089
		15	.3	48722.8833
		16	.1	1887491.7359
		16	.2	984548.7349
		16	.3	1887491.7359 /;
